path,root,title,chars,bytes,lines,h1Count,headings,tables,footnoteDefs,footnoteRefs,images,externalUrls,externalMarkdownLinks,internalMarkdownLinks,replacementChars,frontmatter,sourceFields,exactHash,canonicalHash,empty,veryShort,veryLong,sourceRisk,externalModelSource,includedBy
content/articles/buffett/巴菲特合伙契约_1956.md,content/articles/buffett,巴菲特合伙契约 1956,1568,3392,34,1,1,0,0,0,0,0,0,0,0,false,,8bc22475ce5330502f8ee3897de3e855de6d919dbbbeb22f0abec314999d9a93,3f7dad7e844690d6061ce6214d15ea66a1cbbe3932e1eb60149f90985bfa891c,false,false,false,false,false,
content/articles/buffett/巴菲特接见_Dardashti_2007.md,content/articles/buffett,巴菲特接见 Dardashti 2007,2712,6711,50,1,3,0,0,0,0,0,0,0,0,false,,b1d4226b95ff54a2cfb2d437fba2d4cd0407988f1a90bb2578e0fd223ddc1820,3114bdc243e3557607b7974b4722a9be617c025d17b2b556b8f5178322afb0e2,false,false,false,true,false,buffett
content/articles/buffett/巴菲特青春时代.md,content/articles/buffett,巴菲特青春时代,1943,3963,28,1,1,0,0,0,0,0,0,0,0,false,,e030d225e5d3499bb45283d23f44a21198e96cbda8a0e344d41b038516aff3c4,bc91bc879e1c5d27cbff2283ce8743fcdff97b42c5f8a3c7daacfbd457e49f39,false,false,false,false,false,buffett
content/articles/buffett/巴菲特收购_LTMC_要约_1998.md,content/articles/buffett,巴菲特收购 LTMC 要约 1998,1320,3157,30,1,3,0,0,0,0,0,0,0,0,false,,e5c7c869b4d722c828cd8e08da6928debde66262f9dec0a5b7299b0d75001ba2,db01726b5ac730fd98be6febca58122a00e1a0b2feaa3ae0448b14eaad91f546,false,false,false,false,false,buffett
content/articles/buffett/巴菲特谈_GEICO1976.md,content/articles/buffett,巴菲特谈 GEICO1976,2653,6923,36,1,1,0,0,0,0,0,0,0,0,false,,4c4e935165e5022767a90aad80171a502248e64f4979622ff180f4ccb8f93a90,8cb4606bb12f2e8347a12f7dfb6ee33b211483d90c4152b9cc8165b524368855,false,false,false,false,false,buffett
content/articles/buffett/巴菲特谈股市_1974.md,content/articles/buffett,巴菲特谈股市 1974,3002,8345,36,1,1,0,0,0,0,0,0,0,0,false,,ff698d07c660c4c57f0c08d397c9cf6485d04e0d7b55aad10bb4d764dce7bf1e,293354408e4fa43468bcf2f2907c74283864025b7b46989635be1225f7384e6c,false,false,false,false,false,buffett
content/articles/buffett/巴菲特谈股市_1979.md,content/articles/buffett,巴菲特谈股市 1979,3298,8945,34,1,1,0,0,0,0,0,0,0,0,false,,b49f34862a35b5086d9d85ea1b6df7ea1bac0f5c795076c0faeb49292e5f9048,38ec3a511e78a0ad0746261850e55f504c71666be74e300cc5fb842bf02c91e2,false,false,false,false,false,buffett
content/articles/buffett/巴菲特谈股市_1999.md,content/articles/buffett,巴菲特谈股市 1999,4976,13647,48,1,1,0,0,0,0,0,0,0,0,false,,2d6a6cf8d2eb1b039ba9e58e33457ccdf36f0c36577f7632c9734c8f17a5748c,e98b662295bbda8ddbefd0d26f598f29f53177782fb7c19ced6a400ec16d84d8,false,false,false,true,false,buffett
content/articles/buffett/巴菲特谈股市_2001.md,content/articles/buffett,巴菲特谈股市 2001,10793,28716,118,1,1,0,0,0,0,0,0,0,0,false,,95a03c7bc1a928dccf589d1d25fd5014c0ff76cfe744b9b6ccc0ffc4536a0191,f77f5248cf23dfb0a0a9d6190a9ffcd40c0efb1f714f3294e0b74cdeb0c9029a,false,false,false,false,false,buffett
content/articles/buffett/巴菲特谈施洛斯的信_1994.md,content/articles/buffett,巴菲特谈施洛斯的信 1994,1212,2883,26,1,1,0,0,0,0,0,0,0,0,false,,69792a598a27d4bcd6695989da6fc55bb646af1c5b170c35c09f1d9500333b0e,db8e145b3ebdf1e2837dea7421b872523ffb736c76a3b303d1c8815b8eb83137,false,false,false,false,false,buffett
content/articles/buffett/巴菲特谈通货膨胀_1977.md,content/articles/buffett,巴菲特谈通货膨胀 1977,16171,44998,190,1,1,0,0,0,0,0,0,0,0,false,,5557ed54fa0b3ab4517b3f24eb6f85d3ee78b3788d49a406d28fa03042074fbc,793d4e1b19450d4260cebbd24838e262584316ad3d940a030c60ce7d4d339037,false,false,false,false,false,buffett
content/articles/buffett/巴菲特谈投资_1985.md,content/articles/buffett,巴菲特谈投资 1985,3082,8803,80,1,1,0,0,0,0,0,0,0,0,false,,c28f380c1cdc095dc249167e2edf792fa770ce21e6cb4bc77da9a1be472ae384,d0c623acec3eab8433fe5d588c9b3d71b2d7917b2496c3067568a6c529e82d2e,false,false,false,false,false,buffett
content/articles/buffett/巴菲特谈投资_1988.md,content/articles/buffett,巴菲特谈投资 1988,5053,14231,156,1,1,0,0,0,0,0,0,0,0,false,,9f275c4738a717baaa2fd05622e2c9cd512b90e8178de69e5b5fb68487e67aa6,0c0fa83ae32c32005944a844352bebba11bd2e9e2cbc3f91dd01433b5401d213,false,false,false,true,false,buffett
content/articles/buffett/巴菲特谈微软的信_1997.md,content/articles/buffett,巴菲特谈微软的信 1997,8010,19702,72,1,1,0,0,0,0,0,0,0,0,false,,eb4f730163c33a481595a8d52e07313f6c3de86bbd0be5bb431a7e52f997bc60,359965edad54e5df500fc2475026bf1449b779f835501ff631f0f15079800c44,false,false,false,false,false,buffett
content/articles/buffett/巴菲特谈喜诗糖果_1972.md,content/articles/buffett,巴菲特谈喜诗糖果 1972,22860,57093,262,1,2,0,0,0,0,0,0,0,0,false,,f446e13d2e60dcd1c7a17150b0badc9f336bce5689f84ad25f3e98c6a8b750bb,ed697297d7b3c0da44637a1e3ad2677c6b82a3cd6b2f7e45ef3e59f6af1aa284,false,false,false,true,false,buffett
